id_desenvolvedores;nome_desenvolvedor;appid
61234567890;Valve;10
61234567891;Valve;20
61234567892;Valve;30
61234567893;Valve;40
61234567894;Gearbox Software;50
61234567895;Valve;60
61234567896;Valve;70
61234567897;Valve;80
61234567898;Gearbox Software;130
61234567899;Valve;220
61234567900;Valve;240
61234567901;Valve;280
61234567902;Valve;300
61234567903;Valve;320
61234567904;Valve;340
61234567905;Valve;360
61234567906;Valve;380
61234567907;Valve;400
61234567908;Valve;420
61234567909;Valve;440
61234567910;Valve;500
61234567911;Valve;550
61234567912;Valve;570
61234567913;Valve;620
61234567914;Valve;630
61234567915;Valve_Hidden Path Entertainment;730
61234567916;Mark Healey;1002
61234567917;Tripwire Interactive;1200
61234567918;Tripwire Interactive;1250
61234567919;Ritual Entertainment;1300
61234567920;Introversion Software;1500
61234567921;Introversion Software;1510
61234567922;Introversion Software;1520
61234567923;Introversion Software;1530
61234567924;Sonalysts;1600
61234567925;Malfador Machinations;1610
61234567926;Strategy First;1630
61234567927;Strategy First;1640
61234567928;Strategy First;1670
61234567929;Malfador Machinations;1690
61234567930;Arkane Studios;1700
61234567931;Valve;1840
61234567932;Reality Pump Studios;1900
61234567933;Reality Pump Studios;1930
61234567934;Arkane Studios;2100
61234567935;id Software;2200
61234567936;RavenSoft / id Software;2210
61234567937;id Software;2270
61234567938;id Software;2280
61234567939;id Software;2290
61234567940;id Software;2300
61234567941;id Software;2310
61234567942;id Software;2320
61234567943;Xatrix Entertainment;2330
61234567944;Rogue Entertainment;2340
61234567945;id Software;2350
61234567946;Raven Software;2360
61234567947;Raven Software;2370
61234567948;Raven Software;2390
61234567949;Outerlight Ltd;2400
61234567950;Outerlight Ltd;2450
61234567951;Frozenbyte;2500
61234567952;CINEMAX_ sro;2520
61234567953;Black Element;2590
61234567954;Troika Games;2600
61234567955;Neversoft;2610
61234567956;Infinity Ward;2620
61234567957;Infinity Ward_Aspyr (Mac);2630
61234567958;Gray Matter Studios;2640
61234567959;Eugen Systems;2710
61234567960;Iocaine Studios;2720
61234567961;Bohemia Interactive;2780
61234567962;Egosoft;2800
61234567963;Egosoft;2810
61234567964;Egosoft;2820
61234567965;Egosoft;2840
61234567966;Egosoft;2850
61234567967;Egosoft;2870
61234567968;Sonalysts;2900
61234567969;Sonalysts;2910
61234567970;Sonalysts;2920
61234567971;Bugbear Entertainment;2990
61234567972;Techland;3010
61234567973;Techland;3020
61234567974;Techland;3050
61234567975;1C Entertainment;3130
61234567976;Katauri Interactive;3170
61234567977;Metamorf;3230
61234567978;Kheops Studio;3260
61234567979;Mindware Studios;3270
61234567980;PopCap Games_ Inc;3330
61234567981;PopCap Games_ Inc;3410
61234567982;PopCap Games_ Inc;3480
61234567983;PopCap Games_ Inc;3483
61234567984;Retro64_ Inc;3490
61234567985;SpinTop Games;3500
61234567986;SpinTop Games;3510
61234567987;SpinTop Games;3520
61234567988;SpinTop Games;3530
61234567989;PopCap Games_ Inc;3540
61234567990;PopCap Games_ Inc;3560
61234567991;SpinTop Games;3570
61234567992;PopCap Games_ Inc;3580
61234567993;PopCap Games_ Inc;3590
61234567994;SpinTop Games;3600
61234567995;SpinTop Games;3610
61234567996;PopCap Games_ Inc;3620
61234567997;Rebellion;3700
61234567998;Rebellion;3710
61234567999;Elixir Studios;3720
61234568000;Rebellion;3730
61234568001;GlyphX Games;3800
61234568002;Terminal Reality;3810
61234568003;Terminal Reality;3820
61234568004;Double Fine Productions;3830
61234568005;Firaxis Games;3900
61234568006;Firaxis Games;3910
61234568007;Firaxis Games;3920
61234568008;PopTop;3960
61234568009;FireFly Studios_Firaxis Games;3980
61234568010;Firaxis Games;3990
61234568011;Facepunch Studios;4000
61234568012;Funkitron;4100
61234568013;SimBin;4230
61234568014;SimBin;4290
61234568015;Naked Sky Entertainment;4300
61234568016;Monte Cristo;4420
61234568017;Monte Cristo;4460
61234568018;Monte Cristo;4470
61234568019;GSC Game World;4500
61234568020;Pandemic Studios;4520
61234568021;Pandemic Studios;4530
61234568022;Relic Entertainment;4560
61234568023;Relic Entertainment;4570
61234568024;Relic Entertainment;4580
61234568025;CREATIVE ASSEMBLY_Feral Interactive (Mac)_Feral Interactive (Linux);4700
61234568026;Monolith;4720
61234568027;CREATIVE ASSEMBLY;4760
61234568028;The Creative Assembly;4770
61234568029;The Creative Assembly_Feral Interactive (Mac)_Feral Interactive (Linux);4780
61234568030;GSC Game World;4800
61234568031;GSC Game World;4850
61234568032;GSC Game World;4870
61234568033;GSC Game World;4880
61234568034;GSC Game World;4890
61234568035;Unknown Worlds Entertainment;4900
61234568036;Unknown Worlds Entertainment;4920
61234568037;LucasArts;6000
61234568038;LucasArts;6010
61234568039;Raven Software_Aspyr (Mac);6020
61234568040;Raven Software_Aspyr (Mac);6030
61234568041;LucasArts;6040
61234568042;Pandemic Studios;6060
61234568043;Frontier;6080
61234568044;Planet Moon Studios;6090
61234568045;Klei Entertainment;6120
61234568046;Sick Puppies;6200
61234568047;Deepred;6210
61234568048;Bugbear Entertainment;6220
61234568049;Muzzy Lane;6250
61234568050;Artematica Entertainment;6270
61234568051;Funcom;6300
61234568052;Funcom;6310
61234568053;Stunlock Studios;6370
61234568054;Most Wanted Entertainment;6400
61234568055;Mithis Games_THQ Nordic;6420
61234568056;CAPCOM Co_ Ltd;6510
61234568057;CAPCOM Co_ Ltd;6550
61234568058;Pyro Studios;6800
61234568059;Pyro Studios;6810
61234568060;Pyro Studios;6830
61234568061;Pyro Studios;6840
61234568062;Io_Interactive A/S;6850
61234568063;Io_Interactive A/S;6860
61234568064;Eidos Interactive;6870
61234568065;Avalanche Studios;6880
61234568066;IO Interactive A/S;6900
61234568067;Ion Storm;6910
61234568068;Ion Storm;6920
61234568069;Ion Storm;6980
61234568070;Crystal Dynamics;7000
61234568071;Crystal Dynamics;7010
61234568072;Rebellion;7020
61234568073;BioWare Corporation;7110
61234568074;Nadeo;7200
61234568075;Pendulo Studios;7210
61234568076;Pendulo Studios;7220
61234568077;Cyanide Studios;7260
61234568078;Big Fish Games;7340
61234568079;Gaijin Entertainment;7510
61234568080;Reality Pump Studios;7520
61234568081;Reality Pump Studios;7530
61234568082;Firaxis Games_Feral Interactive (Mac);7600
61234568083;PopTop;7610
61234568084;PopTop;7620
61234568085;MicroProse Software_ Inc;7650
61234568086;MicroProse Software_ Inc;7660
61234568087;MicroProse Software_ Inc;7730
61234568088;MicroProse Software_ Inc;7760
61234568089;MicroProse Software_ Inc;7770
61234568090;Best Way;7830
61234568091;Sky Fallen;7840
61234568092;The Farm 51;7860
61234568093;Infinity Ward_Aspyr (Mac);7940
61234568094;Crystal Dynamics_Feral Interactive (Mac);8000
61234568095;IO Interactive;8080
61234568096;Pivotal Games;8100
61234568097;Crystal Dynamics;8140
61234568098;Eidos Studio Hungary;8170
61234568099;Avalanche Studios;8190
61234568100;Telltale Games;8310
61234568101;Telltale Games;8320
61234568102;Telltale Games;8330
61234568103;Telltale Games;8340
61234568104;Bizarre Creations;8400
61234568105;CCP;8500
61234568106;SimBin;8600
61234568107;SimBin Studios AB;8790
61234568108;Firaxis Games;8800
61234568109;Irrational Games_Aspyr (Mac)_Virtual Programming (Linux);8870
61234568110;Irrational Games;8880
61234568111;Irrational Games;8890
61234568112;Firaxis Games_Aspyr (Mac)_Aspyr (Linux);8930
61234568113;Silver Wish Games;8970
