id_avaliacao;appid;avaliacoes_positivas;avaliacoes_negativas
465568888;10;124534;3339
465568889;20;3318;633
465568890;30;3416;398
465568891;40;1273;267
465568892;50;5250;288
465568893;60;2758;684
465568894;70;27755;1100
465568895;80;12120;1439
465568896;130;3822;420
465568897;220;67902;2419
465568898;240;76640;3497
465568899;280;3767;1053
465568900;300;10489;1210
465568901;320;6020;787
465568902;340;5783;1020
465568903;360;1362;473
465568904;380;7908;517
465568905;400;51801;1080
465568906;420;13902;696
465568907;440;515879;34036
465568908;500;17951;948
465568909;550;251789;8418
465568910;570;863507;142079
465568911;620;138220;1891
465568912;630;17435;941
465568913;730;2644404;402313
465568914;1002;40;17
465568915;1200;1562;223
465568916;1250;53710;2649
465568917;1300;468;61
465568918;1500;472;158
465568919;1510;1602;152
465568920;1520;2057;344
465568921;1530;368;75
465568922;1600;140;44
465568923;1610;112;26
465568924;1630;451;108
465568925;1640;490;152
465568926;1670;137;102
465568927;1690;191;85
465568928;1700;671;106
465568929;1840;15083;1111
465568930;1900;498;238
465568931;1930;2656;1055
465568932;2100;4386;316
465568933;2200;1362;66
465568934;2210;891;171
465568935;2270;1773;87
465568936;2280;3705;257
465568937;2290;573;82
465568938;2300;2517;182
465568939;2310;2618;136
465568940;2320;1369;107
465568941;2330;65;12
465568942;2340;54;33
465568943;2350;108;31
465568944;2360;249;26
465568945;2370;57;20
465568946;2390;417;29
465568947;2400;4819;792
465568948;2450;662;204
465568949;2500;973;248
465568950;2520;52;46
465568951;2590;610;523
465568952;2600;6161;362
465568953;2610;740;87
465568954;2620;1555;117
465568955;2630;2434;236
465568956;2640;490;97
465568957;2710;180;33
465568958;2720;31;9
465568959;2780;145;77
465568960;2800;212;50
465568961;2810;282;113
465568962;2820;1633;272
465568963;2840;142;48
465568964;2850;57;18
465568965;2870;2832;4032
465568966;2900;52;17
465568967;2910;127;31
465568968;2920;33;14
465568969;2990;5438;343
465568970;3010;139;39
465568971;3020;793;198
465568972;3050;71;36
465568973;3130;294;69
465568974;3170;482;53
465568975;3230;30;94
465568976;3260;256;172
465568977;3270;429;137
465568978;3330;437;37
465568979;3410;71;28
465568980;3480;1106;66
465568981;3483;707;58
465568982;3490;10;2
465568983;3500;10;3
465568984;3510;21;8
465568985;3520;11;5
465568986;3530;23;7
465568987;3540;368;24
465568988;3560;98;18
465568989;3570;8;5
465568990;3580;15;3
465568991;3590;14630;454
465568992;3600;97;57
465568993;3610;8;3
465568994;3620;435;28
465568995;3700;1181;377
465568996;3710;559;79
465568997;3720;1847;95
465568998;3730;1434;219
465568999;3800;260;71
465569000;3810;369;110
465569001;3820;259;103
465569002;3830;8204;456
465569003;3900;1394;129
465569004;3910;2578;405
465569005;3920;2641;193
465569006;3960;39;49
465569007;3980;184;65
465569008;3990;121;20
465569009;4000;363721;16433
465569010;4100;4;5
465569011;4230;119;43
465569012;4290;4;2
465569013;4300;43;14
465569014;4420;57;36
465569015;4460;77;41
465569016;4470;31;17
465569017;4500;11039;570
465569018;4520;106;60
465569019;4530;76;38
465569020;4560;4772;320
465569021;4570;3485;206
465569022;4580;2849;133
465569023;4700;10270;605
465569024;4720;1243;221
465569025;4760;7806;562
465569026;4770;331;131
465569027;4780;585;30
465569028;4800;259;46
465569029;4850;1081;143
465569030;4870;102;22
465569031;4880;170;66
465569032;4890;246;138
465569033;4900;122;17
465569034;4920;8372;1498
465569035;6000;6392;379
465569036;6010;597;31
465569037;6020;5684;330
465569038;6030;2020;219
465569039;6040;575;55
465569040;6060;29149;2425
465569041;6080;272;38
465569042;6090;115;18
465569043;6120;1749;227
465569044;6200;1025;164
465569045;6210;91;33
465569046;6220;1977;186
465569047;6250;460;107
465569048;6270;77;100
465569049;6300;588;89
465569050;6310;1152;102
465569051;6370;1365;226
465569052;6400;100;15
465569053;6420;474;90
465569054;6510;569;178
465569055;6550;1462;1052
465569056;6800;1561;213
465569057;6810;404;71
465569058;6830;1333;238
465569059;6840;421;265
465569060;6850;1514;260
465569061;6860;5864;391
465569062;6870;316;113
465569063;6880;1732;846
465569064;6900;1186;450
465569065;6910;6242;347
465569066;6920;649;433
465569067;6980;1135;210
465569068;7000;1656;243
465569069;7010;175;61
465569070;7020;248;15
465569071;7110;809;279
465569072;7200;963;55
465569073;7210;236;90
465569074;7220;86;65
465569075;7260;69;54
465569076;7340;8;4
465569077;7510;1566;981
465569078;7520;3054;2051
465569079;7530;153;194
465569080;7600;1114;570
465569081;7610;355;153
465569082;7620;420;82
465569083;7650;385;32
465569084;7660;417;53
465569085;7730;57;54
465569086;7760;2165;136
465569087;7770;146;138
465569088;7830;1664;257
465569089;7840;34;50
465569090;7860;539;270
465569091;7940;8725;821
465569092;8000;1964;389
465569093;8080;1223;724
465569094;8100;89;103
465569095;8140;1779;594
465569096;8170;1028;542
465569097;8190;33636;3231
465569098;8310;78;71
465569099;8320;44;33
465569100;8330;69;77
465569101;8340;218;25
465569102;8400;583;62
465569103;8500;8317;2832
465569104;8600;1684;348
465569105;8790;174;16
465569106;8800;1396;66
465569107;8870;79442;3846
465569108;8880;197;150
465569109;8890;121;28
465569110;8930;129030;5565
465569111;8970;35;14
465569112;9000;200;36
465569113;9010;3084;276
465569114;9030;143;15
465569115;9040;205;13
465569116;9050;2633;376
465569117;9060;173;39
465569118;9160;310;69
465569119;9180;737;51
465569120;9200;9394;2882
465569121;9310;606;76
465569122;9340;579;52
465569123;9350;1065;162
465569124;9420;4969;174
465569125;9450;4887;286
465569126;9460;378;229
465569127;9480;9442;2881
465569128;9500;160;94
465569129;9710;42;54
465569130;9760;157;38
465569131;9800;428;145
465569132;9850;82;56
465569133;9880;2081;823
465569134;9900;7639;2391
465569135;9940;746;149
465569136;9960;9;13
465569137;9970;5;24
465569138;9980;48;24
465569139;10090;19595;1483
465569140;10100;125;32
465569141;10110;143;42
465569142;10120;14;16
465569143;10130;623;159
465569144;10140;50;28
465569145;10150;3702;904
465569146;10180;30006;2826
465569147;10220;641;1101
465569148;10230;25;63
465569149;10240;15;10
465569150;10250;12;12
465569151;10260;5;10
465569152;10270;618;252
465569153;10460;47;50
465569154;10500;14928;1719
465569155;10680;9448;1186
465569156;11020;8252;1244
465569157;11040;114;43
465569158;11050;94;45
465569159;11130;59;130
465569160;11140;178;49
465569161;11150;98;54
465569162;11190;300;94
465569163;11200;328;239
465569164;11230;351;142
465569165;11240;299;310
465569166;11250;20;9
465569167;11260;78;56
465569168;11280;902;129
465569169;11330;586;130
465569170;11340;523;161
465569171;11360;433;148
465569172;11450;3439;276
465569173;11480;273;61
465569174;11560;69;44
465569175;11590;175;301
465569176;12100;4718;750
465569177;12110;9817;819
465569178;12120;26877;3243
465569179;12130;816;433
465569180;12140;3926;435
465569181;12150;2506;172
465569182;12170;199;30
465569183;12180;184;17
465569184;12200;8504;1764
465569185;12210;35240;18926
