id_categoria;nome_categoria;appid 
1;"Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled";10
2;"Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled";20
3;"Multi-player;Valve Anti-Cheat enabled";30
4;"Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled";40
5;"Single-player;Multi-player;Valve Anti-Cheat enabled";50
6;"Multi-player;Online Multi-Player;Valve Anti-Cheat enabled";60
7;"Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled";70
8;"Single-player;Multi-player;Valve Anti-Cheat enabled";80
9;Single-player;130
10;"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK";220
11;"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK";240
12;Single-player;280
13;"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK";300
14;"Multi-player;Valve Anti-Cheat enabled;Includes Source SDK";320
15;"Single-player;Commentary available";340
16;"Multi-player;Valve Anti-Cheat enabled";360
17;"Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available";380
18;"Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available";400
19;"Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available";420
20;"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available";440
21;"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available";500
22;"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available";550
23;"Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled";570
24;"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available";620
25;"Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor";630
26;"Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats";730
27;"Single-player;Multi-player";1002
28;"Multi-player;Steam Achievements;Valve Anti-Cheat enabled";1200
29;"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor";1250
30;"Single-player;Stats";1300
31;Single-player;1500
32;Single-player;1510
33;"Single-player;Multi-player";1520
34;"Single-player;Multi-player;Steam Achievements";1530
35;"Single-player;Multi-player";1600
36;"Single-player;Multi-player";1610
37;"Single-player;Multi-player;Co-op";1630
38;"Single-player;Multi-player;Co-op";1640
39;"Single-player;Multi-player";1670
40;"Single-player;Multi-player";1690
41;Single-player;1700
42;Steam Workshop;1840
43;"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards";1900
44;"Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support";1930
45;"Single-player;Multi-player;Valve Anti-Cheat enabled";2100
46;"Single-player;Multi-player;Steam Cloud";2200
47;"Single-player;Multi-player;Steam Cloud";2210
48;"Single-player;Steam Cloud";2270
49;"Single-player;Steam Cloud";2280
50;"Single-player;Steam Cloud";2290
51;"Single-player;Multi-player;Steam Cloud";2300
52;"Single-player;Multi-player;Co-op;Steam Cloud";2310
53;"Single-player;Multi-player;Co-op;Steam Cloud";2320
54;"Single-player;Multi-player;Steam Cloud";2330
55;"Single-player;Multi-player;Steam Cloud";2340
56;"Single-player;Multi-player;Steam Cloud";2350
57;"Single-player;Steam Cloud";2360
58;"Single-player;Steam Cloud";2370
59;"Single-player;Multi-player;Steam Cloud";2390
60;"Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled";2400
61;"Single-player;Multi-player;Steam Achievements";2450
62;"Single-player;Shared/Split Screen;Steam Trading Cards";2500
63;Single-player;2520
64;Single-player;2590
65;Single-player;2600
66;Single-player;2610
67;"Single-player;Multi-player";2620
68;"Single-player;Multi-player";2630
69;"Single-player;Multi-player";2640
70;"Single-player;Multi-player";2710
71;"Single-player;Multi-player;Includes level editor";2720
72;"Single-player;Multi-player;Includes level editor";2780
73;"Single-player;Captions available;Steam Cloud";2800
74;"Single-player;Captions available;Steam Cloud";2810
75;"Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud";2820
76;"Single-player;Steam Cloud";2840
77;"Single-player;Steam Cloud";2850
78;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud";2870
79;"Single-player;Multi-player";2900
80;Single-player;2910
81;"Single-player;Multi-player;Co-op;Includes level editor";2920
82;Single-player;2990
83;"Single-player;Multi-player";3010
84;"Single-player;Multi-player;Steam Trading Cards";3020
85;"Single-player;Multi-player";3050
86;"Single-player;Steam Cloud";3130
87;"Single-player;Steam Cloud";3170
88;"Single-player;Multi-player";3230
89;Single-player;3260
90;"Single-player;Multi-player";3270
91;Single-player;3330
92;Single-player;3410
93;Single-player;3480
94;Single-player;3483
95;Single-player;3490
96;Single-player;3500
97;Single-player;3510
98;Single-player;3520
99;Single-player;3530
100;Single-player;3540
101;Single-player;3560
102;Single-player;3570
103;Single-player;3580
104;"Single-player;Steam Achievements";3590
105;Single-player;3600
106;Single-player;3610
107;"Single-player;Steam Achievements;Stats";3620
108;"Single-player;Steam Trading Cards";3700
109;"Single-player;Multi-player;Co-op";3710
110;Single-player;3720
111;"Single-player;Multi-player";3730
112;"Single-player;Steam Trading Cards";3800
113;"Single-player;Steam Trading Cards";3810
114;"Single-player;Steam Trading Cards";3820
115;"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud";3830
116;"Single-player;Multi-player;Includes level editor";3900
117;"Single-player;Multi-player;Includes level editor";3910
118;Single-player;3920
119;"Single-player;Multi-player";3960
120;Single-player;3980
121;Single-player;3990
122;"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor";4000
123;Single-player;4100
124;"Single-player;Multi-player";4230
125;"Single-player;Multi-player";4290
126;"Single-player;Partial Controller Support;Includes level editor";4300
127;Single-player;4420
128;Single-player;4460
129;"Single-player;Multi-player";4470
130;"Single-player;Multi-player";4500
131;"Single-player;Multi-player;Co-op";4520
132;"Single-player;Multi-player;Co-op";4530
133;"Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud";4560
134;"Single-player;Multi-player;Steam Trading Cards;Steam Cloud";4570
135;"Single-player;Multi-player;Steam Cloud";4580
136;"Single-player;Multi-player;Steam Trading Cards";4700
137;Single-player;4720
138;"Single-player;Multi-player;Steam Trading Cards";4760
139;"Single-player;Multi-player";4770
140;"Single-player;Multi-player";4780
141;"Single-player;Multi-player";4800
142;"Single-player;Multi-player";4850
143;Single-player;4870
144;Single-player;4880
145;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player";4890
146;Single-player;4900
147;"Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor";4920
148;"Single-player;Multi-player;Local Multi-Player;Steam Cloud";6000
149;"Single-player;Steam Cloud";6010
150;"Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud";6020
151;"Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud";6030
152;"Single-player;Steam Cloud";6040
153;"Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud";6060
154;"Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud";6080
155;"Single-player;Steam Cloud";6090
156;"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud";6120
157;Single-player;6200
158;Single-player;6210
159;"Single-player;Multi-player";6220
160;"Single-player;Multi-player";6250
161;"Single-player;Multi-player";6270
162;Single-player;6300
163;Single-player;6310
164;"Single-player;Multi-player;MMO";6370
165;"Single-player;Multi-player;Co-op;Shared/Split Screen";6400
166;"Single-player;Multi-player;Includes level editor";6420
167;"Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled";6510
168;"Single-player;Partial Controller Support";6550
169;"Single-player;Multi-player;Co-op";6800
170;"Single-player;Multi-player;Co-op";6810
171;"Single-player;Multi-player;Co-op";6830
172;"Single-player;Multi-player;Co-op";6840
173;Single-player;6850
174;Single-player;6860
175;Single-player;6870
176;Single-player;6880
177;Single-player;6900
178;"Single-player;Multi-player";6910
179;Single-player;6920
180;Single-player;6980
181;"Single-player;Partial Controller Support";7000
182;"Single-player;Multi-player";7010
183;"Single-player;Multi-player;Co-op";7020
184;"Single-player;Partial Controller Support";7110
185;"Single-player;Multi-player;Includes level editor";7200
186;Single-player;7210
187;Single-player;7220
188;"Single-player;Multi-player";7260
189;Single-player;7340
190;"Single-player;Steam Trading Cards;Partial Controller Support";7510
191;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud";7520
192;"Single-player;Steam Trading Cards;Steam Cloud";7530
193;"Single-player;Multi-player";7600
194;"Single-player;Multi-player";7610
195;Single-player;7620
196;Single-player;7650
197;Single-player;7660
198;"Single-player;Multi-player";7730
199;Single-player;7760
200;"Single-player;Multi-player";7770
201;"Single-player;Multi-player;Steam Cloud;Includes level editor";7830
202;"Single-player;Steam Cloud";7840
203;"Single-player;Multi-player;Steam Cloud";7860
204;"Single-player;Multi-player";7940
205;"Single-player;Partial Controller Support";8000
206;"Single-player;Multi-player;Shared/Split Screen;Partial Controller Support";8080
207;Single-player;8100
208;Single-player;8140
209;"Single-player;Multi-player;Partial Controller Support";8170
210;"Single-player;Steam Achievements;Full controller support;Steam Cloud";8190
211;Single-player;8310
212;Single-player;8320
213;Single-player;8330
214;Single-player;8340
215;"Single-player;Full controller support";8400
216;"Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards";8500
217;"Single-player;Multi-player";8600
218;"Single-player;Multi-player";8790
219;Single-player;8800
220;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";8870
221;"Single-player;Multi-player";8880
222;"Single-player;Multi-player";8890
223;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud";8930
224;"Single-player;Steam Achievements";8970
225;"Single-player;Steam Cloud";9000
226;"Single-player;Multi-player;Steam Cloud";9010
227;"Single-player;Multi-player;Steam Cloud";9030
228;"Single-player;Multi-player;Steam Cloud";9040
229;"Single-player;Multi-player;Steam Cloud";9050
230;"Single-player;Multi-player;Co-op;Steam Cloud";9060
231;"Single-player;Steam Cloud";9160
232;"Single-player;Steam Cloud";9180
233;"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support";9200
234;"Single-player;Multi-player";9310
235;"Single-player;Multi-player;Steam Cloud";9340
236;"Single-player;Multi-player";9350
237;"Single-player;Multi-player";9420
238;"Single-player;Multi-player;Steam Cloud";9450
239;"Single-player;Co-op;Steam Cloud";9460
240;"Single-player;Steam Cloud";9480
241;"Single-player;Multi-player";9500
242;Single-player;9710
243;"Single-player;Multi-player";9760
244;"Single-player;Steam Cloud";9800
245;"Single-player;Multi-player;Co-op";9850
246;"Multi-player;MMO;Co-op;Steam Achievements";9880
247;"Multi-player;MMO;Co-op;Steam Achievements;Full controller support;In-App Purchases";9900
248;"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud";9940
249;"Single-player;Partial Controller Support";9960
250;"Single-player;Partial Controller Support";9970
251;Single-player;9980
252;"Single-player;Multi-player;Co-op";10090
253;Single-player;10100
254;Single-player;10110
255;Single-player;10120
256;"Single-player;Multi-player";10130
257;Single-player;10140
258;Single-player;10150
259;"Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled";10180
260;"Single-player;Steam Achievements";10220
261;Single-player;10230
262;Single-player;10240
263;"Single-player;Multi-player";10250
264;"Single-player;Multi-player";10260
265;"Single-player;Multi-player";10270
266;"Single-player;Multi-player;Partial Controller Support";10460
267;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats";10500
268;"Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards";10680
269;"Single-player;Multi-player;Includes level editor";11020
270;Single-player;11040
271;Single-player;11050
272;Single-player;11130
273;Single-player;11140
274;Single-player;11150
275;Single-player;11190
276;"Single-player;Shared/Split Screen;Steam Trading Cards;Includes level editor";11200
277;"Single-player;Multi-player";11230
278;"Single-player;Multi-player;Co-op;Steam Achievements";11240
279;"Single-player;Multi-player;Steam Trading Cards";11250
280;"Single-player;Multi-player;Steam Trading Cards";11260
281;"Single-player;Multi-player;Online Multi-Player;Steam Trading Cards";11280
282;"Single-player;Steam Achievements";11330
283;"Single-player;Steam Achievements";11340
284;Single-player;11360
285;"Single-player;Partial Controller Support";11450
286;"Single-player;Multi-player;Co-op";11480
287;Single-player;11560
288;Single-player;11590
289;"Single-player;Partial Controller Support";12100
290;"Single-player;Partial Controller Support";12110
291;Single-player;12120
292;Single-player;12130
293;Single-player;12140
294;Single-player;12150
