id_plataforma;nome_plataforma;appid
1122334455;"windows;mac;linux";10
1122334456;"windows;mac;linux";20
1122334457;"windows;mac;linux";30
1122334458;"windows;mac;linux";40
1122334459;"windows;mac;linux";50
1122334460;"windows;mac;linux";60
1122334461;"windows;mac;linux";70
1122334462;"windows;mac;linux";80
1122334463;"windows;mac;linux";130
1122334464;"windows;mac;linux";220
1122334465;"windows;mac;linux";240
1122334466;"windows;mac;linux";280
1122334467;"windows;mac;linux";300
1122334468;"windows;mac;linux";320
1122334469;"windows;mac;linux";340
1122334470;"windows;mac;linux";360
1122334471;"windows;mac;linux";380
1122334472;"windows;mac;linux";400
1122334473;"windows;mac;linux";420
1122334474;"windows;mac;linux";440
1122334475;"windows;mac";500
1122334476;"windows;mac;linux";550
1122334477;"windows;mac;linux";570
1122334478;"windows;mac;linux";620
1122334479;windows;630
1122334480;"windows;mac;linux";730
1122334481;windows;1002
1122334482;"windows;mac;linux";1200
1122334483;"windows;mac;linux";1250
1122334484;windows;1300
1122334485;"windows;mac;linux";1500
1122334486;"windows;mac;linux";1510
1122334487;"windows;mac;linux";1520
1122334488;"windows;mac";1530
1122334489;windows;1600
1122334490;windows;1610
1122334491;windows;1630
1122334492;windows;1640
1122334493;windows;1670
1122334494;windows;1690
1122334495;windows;1700
1122334496;windows;1840
1122334497;"windows;mac;linux";1900
1122334498;"windows;mac;linux";1930
1122334499;windows;2100
1122334500;windows;2200
1122334501;windows;2210
1122334502;windows;2270
1122334503;windows;2280
1122334504;windows;2290
1122334505;windows;2300
1122334506;windows;2310
1122334507;windows;2320
1122334508;windows;2330
1122334509;windows;2340
1122334510;windows;2350
1122334511;windows;2360
1122334512;windows;2370
1122334513;windows;2390
1122334514;windows;2400
1122334515;windows;2450
1122334516;"windows;mac";2500
1122334517;windows;2520
1122334518;windows;2590
1122334519;windows;2600
1122334520;windows;2610
1122334521;windows;2620
1122334522;"windows;mac";2630
1122334523;windows;2640
1122334524;windows;2710
1122334525;windows;2720
1122334526;windows;2780
1122334527;windows;2800
1122334528;"windows;mac;linux";2810
1122334529;"windows;mac;linux";2820
1122334530;windows;2840
1122334531;windows;2850
1122334532;"windows;mac;linux";2870
1122334533;windows;2900
1122334534;windows;2910
1122334535;windows;2920
1122334536;windows;2990
1122334537;windows;3010
1122334538;windows;3020
1122334539;windows;3050
1122334540;windows;3130
1122334541;"windows;mac";3170
1122334542;windows;3230
1122334543;windows;3260
1122334544;windows;3270
1122334545;"windows;mac";3330
1122334546;windows;3410
1122334547;"windows;mac";3480
1122334548;windows;3483
1122334549;windows;3490
1122334550;windows;3500
1122334551;windows;3510
1122334552;windows;3520
1122334553;windows;3530
1122334554;"windows;mac";3540
1122334555;windows;3560
1122334556;windows;3570
1122334557;windows;3580
1122334558;"windows;mac";3590
1122334559;"windows;mac";3600
1122334560;windows;3610
1122334561;windows;3620
1122334562;windows;3700
1122334563;windows;3710
1122334564;windows;3720
1122334565;windows;3730
1122334566;windows;3800
1122334567;windows;3810
1122334568;windows;3820
1122334569;"windows;mac;linux";3830
1122334570;"windows;mac";3900
1122334571;windows;3910
1122334572;windows;3920
1122334573;windows;3960
1122334574;windows;3980
1122334575;"windows;mac";3990
1122334576;"windows;mac;linux";4000
1122334577;windows;4100
1122334578;windows;4230
1122334579;windows;4290
1122334580;windows;4300
1122334581;windows;4420
1122334582;windows;4460
1122334583;windows;4470
1122334584;windows;4500
1122334585;windows;4520
1122334586;windows;4530
1122334587;windows;4560
1122334588;windows;4570
1122334589;windows;4580
1122334590;"windows;mac;linux";4700
1122334591;windows;4720
1122334592;windows;4760
1122334593;windows;4770
1122334594;"windows;mac;linux";4780
1122334595;windows;4800
1122334596;windows;4850
1122334597;windows;4870
1122334598;windows;4880
1122334599;windows;4890
1122334600;windows;4900
1122334601;"windows;linux";4920
1122334602;windows;6000
1122334603;"windows;mac";6010
1122334604;"windows;mac";6020
1122334605;"windows;mac";6030
1122334606;"windows;mac";6040
1122334607;windows;6060
1122334608;windows;6080
1122334609;windows;6090
1122334610;"windows;mac;linux";6120
1122334611;windows;6200
1122334612;windows;6210
1122334613;windows;6220
1122334614;windows;6250
1122334615;windows;6270
1122334616;windows;6300
1122334617;windows;6310
1122334618;windows;6370
1122334619;windows;6400
1122334620;windows;6420
1122334621;windows;6510
1122334622;windows;6550
1122334623;windows;6800
1122334624;windows;6810
1122334625;windows;6830
1122334626;windows;6840
1122334627;windows;6850
1122334628;windows;6860
1122334629;windows;6870
1122334630;windows;6880
1122334631;windows;6900
1122334632;windows;6910
1122334633;windows;6920
1122334634;windows;6980
1122334635;windows;7000
1122334636;windows;7010
1122334637;windows;7020
1122334638;windows;7110
1122334639;windows;7200
1122334640;windows;7210
1122334641;windows;7220
1122334642;windows;7260
1122334643;windows;7340
1122334644;"windows;mac;linux";7510
1122334645;"windows;mac";7520
1122334646;"windows;mac";7530
1122334647;"windows;mac";7600
1122334648;windows;7610
1122334649;windows;7620
1122334650;windows;7650
1122334651;windows;7660
1122334652;windows;7730
1122334653;windows;7760
1122334654;windows;7770
1122334655;windows;7830
1122334656;windows;7840
1122334657;windows;7860
1122334658;"windows;mac";7940
1122334659;windows;8000
1122334660;windows;8080
1122334661;windows;8100
1122334662;windows;8140
1122334663;windows;8170
1122334664;windows;8190
1122334665;windows;8310
1122334666;windows;8320
1122334667;windows;8330
1122334668;"windows;mac";8340
1122334669;windows;8400
1122334670;"windows;mac";8500
1122334671;windows;8600
1122334672;windows;8790
1122334673;"windows;mac";8800
1122334674;"windows;mac;linux";8870
1122334675;windows;8880
1122334676;windows;8890
1122334677;"windows;mac;linux";8930
1122334678;windows;8970
1122334679;windows;9000
1122334680;windows;9010
1122334681;windows;9030
1122334682;windows;9040
